dt,WR_x,WR_y,U_dN
4.65,8.73609,8.73609,8.74242
4.66,8.72342,8.72342,8.72976
4.67,8.71073,8.71073,8.71708
4.68,8.69803,8.69803,8.70438
4.69,8.68531,8.68531,8.69167
4.7,8.67258,8.67258,8.67894
4.71,8.65982,8.65982,8.6662
4.72,8.64706,8.64706,8.65344
4.73,8.63427,8.63427,8.64067
4.74,8.62148,8.62148,8.62788
4.75,8.60866,8.60866,8.61507
4.76,8.59583,8.59583,8.60225
4.77,8.58299,8.58299,8.58941
4.78,8.57013,8.57013,8.57656
4.79,8.55725,8.55725,8.56369
4.8,8.54436,8.54436,8.55081
4.81,8.53146,8.53146,8.53791
4.82,8.51854,8.51854,8.525
4.83,8.5056,8.5056,8.51207
4.84,8.49265,8.49265,8.49912
4.85,8.47968,8.47968,8.48617
4.86,8.4667,8.4667,8.47319
4.87,8.45371,8.45371,8.46021
4.88,8.4407,8.4407,8.4472
4.89,8.42767,8.42767,8.43418
4.9,8.41463,8.41463,8.42115
4.91,8.40158,8.40158,8.40811
4.92,8.38851,8.38851,8.39504
4.93,8.37543,8.37543,8.38197
4.94,8.36233,8.36233,8.36888
4.95,8.34922,8.34922,8.35577
4.96,8.33609,8.33609,8.34266
4.97,8.32295,8.32295,8.32952
4.98,8.3098,8.3098,8.31638
4.99,8.29663,8.29663,8.30321
5.0,8.28345,8.28345,8.29004
5.01,8.27025,8.27025,8.27685
5.02,8.25704,8.25704,8.26365
5.03,8.24382,8.24382,8.25043
5.04,8.23058,8.23058,8.2372
5.05,8.21733,8.21733,8.22396
5.06,8.20407,8.20407,8.2107
5.07,8.19079,8.19079,8.19743
5.08,8.1775,8.1775,8.18414
5.09,8.16419,8.16419,8.17084
5.1,8.15087,8.15087,8.15753
5.11,8.13754,8.13754,8.14421
5.12,8.1242,8.1242,8.13087
5.13,8.11084,8.11084,8.11752
5.14,8.09747,8.09747,8.10415
5.15,8.08408,8.08408,8.09078
5.16,8.07069,8.07069,8.07738
5.17,8.05728,8.05728,8.06398
5.18,8.04385,8.04385,8.05057
5.19,8.03042,8.03042,8.03714
5.2,8.01697,8.01697,8.02369
5.21,8.00351,8.00351,8.01024
5.22,7.99004,7.99004,7.99677
5.23,7.97655,7.97655,7.98329
5.24,7.96305,7.96305,7.9698
5.25,7.94954,7.94954,7.9563
5.26,7.93602,7.93602,7.94278
5.27,7.92248,7.92248,7.92925
5.28,7.90894,7.90894,7.91571
5.29,7.89538,7.89538,7.90216
5.3,7.88181,7.88181,7.88859
5.31,7.86822,7.86822,7.87501
5.32,7.85463,7.85463,7.86143
5.33,7.84102,7.84102,7.84782
5.34,7.8274,7.8274,7.83421
5.35,7.81377,7.81377,7.82059
5.36,7.80013,7.80013,7.80695
5.37,7.78647,7.78647,7.7933
