dt,WRv_x,WRv_y,U_vN
5.81,-1.41042,-1.41042,-1.40999
5.82,-1.41129,-1.41129,-1.41086
5.83,-1.41215,-1.41215,-1.41172
5.84,-1.413,-1.413,-1.41257
5.85,-1.41385,-1.41385,-1.41342
5.86,-1.41468,-1.41468,-1.41427
5.87,-1.41552,-1.41552,-1.4151
5.88,-1.41634,-1.41634,-1.41593
5.89,-1.41716,-1.41716,-1.41675
5.9,-1.41798,-1.41798,-1.41757
5.91,-1.41879,-1.41879,-1.41838
5.92,-1.41959,-1.41959,-1.41919
5.93,-1.42038,-1.42038,-1.41998
5.94,-1.42117,-1.42117,-1.42077
5.95,-1.42195,-1.42195,-1.42156
5.96,-1.42272,-1.42272,-1.42234
5.97,-1.42349,-1.42349,-1.42311
5.98,-1.42426,-1.42426,-1.42387
5.99,-1.42501,-1.42501,-1.42463
6.0,-1.42576,-1.42576,-1.42539
6.01,-1.4265,-1.4265,-1.42613
6.02,-1.42724,-1.42724,-1.42687
6.03,-1.42797,-1.42797,-1.4276
6.04,-1.42869,-1.42869,-1.42833
6.05,-1.42941,-1.42941,-1.42905
6.06,-1.43012,-1.43012,-1.42977
6.07,-1.43083,-1.43083,-1.43047
6.08,-1.43152,-1.43152,-1.43118
6.09,-1.43222,-1.43222,-1.43187
6.1,-1.4329,-1.4329,-1.43256
6.11,-1.43358,-1.43358,-1.43324
6.12,-1.43425,-1.43425,-1.43392
6.13,-1.43492,-1.43492,-1.43459
6.14,-1.43558,-1.43558,-1.43525
6.15,-1.43623,-1.43623,-1.43591
6.16,-1.43688,-1.43688,-1.43656
6.17,-1.43752,-1.43752,-1.4372
6.18,-1.43816,-1.43816,-1.43784
6.19,-1.43878,-1.43878,-1.43847
6.2,-1.4394,-1.4394,-1.43909
6.21,-1.44002,-1.44002,-1.43971
6.22,-1.44063,-1.44063,-1.44032
6.23,-1.44123,-1.44123,-1.44093
6.24,-1.44183,-1.44183,-1.44153
6.25,-1.44242,-1.44242,-1.44212
6.26,-1.443,-1.443,-1.44271
6.27,-1.44358,-1.44358,-1.44329
