dt,U_aN
13.96,0.101802
13.97,0.10154
13.98,0.101277
13.99,0.101014
14,0.100749
14.01,0.100485
14.02,0.100219
14.03,0.0999528
14.04,0.099686
14.05,0.0994185
14.06,0.0991503
14.07,0.0988815
14.08,0.098612
14.09,0.0983419
14.1,0.0980711
14.11,0.0977997
14.12,0.0975277
14.13,0.097255
14.14,0.0969818
14.15,0.0967079
14.16,0.0964334
14.17,0.0961582
14.18,0.0958825
14.19,0.0956062
14.2,0.0953293
14.21,0.0950518
14.22,0.0947737
14.23,0.094495
14.24,0.0942157
14.25,0.0939359
14.26,0.0936555
14.27,0.0933745
14.28,0.0930929
14.29,0.0928108
14.3,0.0925282
14.31,0.092245
